"filename", "language", "TypeScript", "JSON", "comment", "blank", "total"
"d:\project\AGCEvalCases\AGCEvalCases\HM-MultiDev-bench\CaseAdaptiveLayoutStretch\base\AppScope\resources\base\element\string.json", "JSON", 0, 8, 0, 1, 9
"d:\project\AGCEvalCases\AGCEvalCases\HM-MultiDev-bench\CaseAdaptiveLayoutStretch\base\AppScope\resources\base\media\layered_image.json", "JSON", 0, 7, 0, 0, 7
"d:\project\AGCEvalCases\AGCEvalCases\HM-MultiDev-bench\CaseAdaptiveLayoutStretch\base\entry\hvigorfile.ts", "TypeScript", 5, 0, 0, 1, 6
"d:\project\AGCEvalCases\AGCEvalCases\HM-MultiDev-bench\CaseAdaptiveLayoutStretch\base\entry\src\main\ets\entryability\EntryAbility.ets", "TypeScript", 36, 0, 4, 8, 48
"d:\project\AGCEvalCases\AGCEvalCases\HM-MultiDev-bench\CaseAdaptiveLayoutStretch\base\entry\src\main\ets\entrybackupability\EntryBackupAbility.ets", "TypeScript", 13, 0, 0, 3, 16
"d:\project\AGCEvalCases\AGCEvalCases\HM-MultiDev-bench\CaseAdaptiveLayoutStretch\base\entry\src\main\ets\pages\Index.ets", "TypeScript", 264, 0, 0, 15, 279
"d:\project\AGCEvalCases\AGCEvalCases\HM-MultiDev-bench\CaseAdaptiveLayoutStretch\base\entry\src\main\resources\base\element\color.json", "JSON", 0, 12, 0, 0, 12
"d:\project\AGCEvalCases\AGCEvalCases\HM-MultiDev-bench\CaseAdaptiveLayoutStretch\base\entry\src\main\resources\base\element\float.json", "JSON", 0, 8, 0, 1, 9
"d:\project\AGCEvalCases\AGCEvalCases\HM-MultiDev-bench\CaseAdaptiveLayoutStretch\base\entry\src\main\resources\base\element\string.json", "JSON", 0, 16, 0, 0, 16
"d:\project\AGCEvalCases\AGCEvalCases\HM-MultiDev-bench\CaseAdaptiveLayoutStretch\base\entry\src\main\resources\base\media\layered_image.json", "JSON", 0, 7, 0, 0, 7
"d:\project\AGCEvalCases\AGCEvalCases\HM-MultiDev-bench\CaseAdaptiveLayoutStretch\base\entry\src\main\resources\base\profile\backup_config.json", "JSON", 0, 3, 0, 0, 3
"d:\project\AGCEvalCases\AGCEvalCases\HM-MultiDev-bench\CaseAdaptiveLayoutStretch\base\entry\src\main\resources\base\profile\main_pages.json", "JSON", 0, 5, 0, 1, 6
"d:\project\AGCEvalCases\AGCEvalCases\HM-MultiDev-bench\CaseAdaptiveLayoutStretch\base\entry\src\main\resources\dark\element\color.json", "JSON", 0, 8, 0, 0, 8
"d:\project\AGCEvalCases\AGCEvalCases\HM-MultiDev-bench\CaseAdaptiveLayoutStretch\base\entry\src\ohosTest\ets\test\List.test.ets", "TypeScript", 2, 0, 0, 1, 3
"d:\project\AGCEvalCases\AGCEvalCases\HM-MultiDev-bench\CaseAdaptiveLayoutStretch\base\entry\src\test\List.test.ets", "TypeScript", 4, 0, 0, 1, 5
"d:\project\AGCEvalCases\AGCEvalCases\HM-MultiDev-bench\CaseAdaptiveLayoutStretch\base\entry\src\test\LocalUnit.test.ets", "TypeScript", 19, 0, 13, 1, 33
"d:\project\AGCEvalCases\AGCEvalCases\HM-MultiDev-bench\CaseAdaptiveLayoutStretch\base\hvigorfile.ts", "TypeScript", 5, 0, 0, 1, 6
"Total", "-", 348, 74, 17, 34, 473
